In real time|People who come|People in queue(first/second)|People who left|Transported People|Gondola status
(6, 58, 20)|0|[0, 0]|0|0|status.waiting
(6, 58, 21)|0|[0, 0]|0|0|status.waiting
(6, 58, 22)|0|[0, 0]|0|0|status.waiting
(6, 58, 23)|0|[0, 0]|0|0|status.waiting
(6, 58, 24)|0|[0, 0]|0|0|status.waiting
(6, 58, 25)|0|[0, 0]|0|0|status.waiting
(6, 58, 26)|0|[0, 0]|0|0|status.waiting
(6, 58, 27)|0|[0, 0]|0|0|status.waiting
(6, 58, 28)|0|[0, 0]|0|0|status.waiting
(6, 58, 29)|0|[0, 0]|0|0|status.waiting
(6, 58, 30)|0|[0, 0]|0|0|status.waiting
(6, 58, 31)|0|[0, 0]|0|0|status.waiting
(6, 58, 32)|0|[0, 0]|0|0|status.waiting
(6, 58, 33)|0|[0, 0]|0|0|status.waiting
(6, 58, 34)|0|[0, 0]|0|0|status.waiting
(6, 58, 35)|0|[0, 0]|0|0|status.waiting
(6, 58, 36)|0|[0, 0]|0|0|status.waiting
(6, 58, 37)|0|[0, 0]|0|0|status.waiting
(6, 58, 38)|0|[0, 0]|0|0|status.waiting
(6, 58, 39)|0|[0, 0]|0|0|status.waiting
(6, 58, 40)|0|[0, 0]|0|0|status.waiting
(6, 58, 41)|0|[0, 0]|0|0|status.waiting
(6, 58, 42)|0|[0, 0]|0|0|status.waiting
(6, 58, 43)|0|[0, 0]|0|0|status.waiting
(6, 58, 44)|0|[0, 0]|0|0|status.waiting
(6, 58, 45)|0|[0, 0]|0|0|status.waiting
(6, 58, 46)|0|[0, 0]|0|0|status.waiting
(6, 58, 47)|0|[0, 0]|0|0|status.waiting
(6, 58, 48)|0|[0, 0]|0|0|status.waiting
(6, 58, 49)|0|[0, 0]|0|0|status.waiting
(6, 58, 50)|0|[0, 0]|0|0|status.waiting
(6, 58, 51)|0|[0, 0]|0|0|status.moving
(6, 58, 52)|0|[0, 0]|0|0|status.moving
(6, 58, 53)|0|[0, 0]|0|0|status.moving
(6, 58, 54)|0|[0, 0]|0|0|status.moving
(6, 58, 55)|0|[0, 0]|0|0|status.moving
(6, 58, 56)|0|[0, 0]|0|0|status.moving
(6, 58, 57)|0|[0, 0]|0|0|status.moving
(6, 58, 58)|0|[0, 0]|0|0|status.moving
(6, 58, 59)|0|[0, 0]|0|0|status.moving
(6, 59, 0)|0|[0, 0]|0|0|status.moving
(6, 59, 1)|0|[0, 0]|0|0|status.moving
(6, 59, 2)|0|[1, 0]|0|0|status.moving
(6, 59, 3)|0|[1, 0]|0|0|status.moving
(6, 59, 4)|0|[1, 0]|0|0|status.moving
(6, 59, 5)|0|[1, 0]|0|0|status.moving
(6, 59, 6)|0|[1, 0]|0|0|status.moving
(6, 59, 7)|0|[1, 0]|0|0|status.moving
(6, 59, 8)|0|[1, 0]|0|0|status.moving
(6, 59, 9)|0|[1, 0]|0|0|status.moving
(6, 59, 10)|0|[1, 0]|0|0|status.moving
(6, 59, 11)|0|[1, 0]|0|0|status.moving
(6, 59, 12)|0|[1, 0]|0|0|status.moving
(6, 59, 13)|0|[1, 0]|0|0|status.moving
(6, 59, 14)|0|[1, 0]|0|0|status.moving
(6, 59, 15)|0|[1, 0]|0|0|status.moving
(6, 59, 16)|0|[1, 0]|0|0|status.moving
(6, 59, 17)|0|[1, 0]|0|0|status.moving
(6, 59, 18)|0|[1, 0]|0|0|status.moving
(6, 59, 19)|0|[1, 0]|0|0|status.moving
(6, 59, 20)|0|[1, 0]|0|0|status.moving
(6, 59, 21)|0|[1, 0]|0|0|status.moving
(6, 59, 22)|0|[1, 0]|0|0|status.moving
(6, 59, 23)|0|[1, 0]|0|0|status.moving
(6, 59, 24)|0|[1, 0]|0|0|status.moving
(6, 59, 25)|0|[1, 0]|0|0|status.moving
(6, 59, 26)|0|[1, 0]|0|0|status.moving
(6, 59, 27)|0|[1, 0]|0|0|status.moving
(6, 59, 28)|0|[1, 0]|0|0|status.moving
(6, 59, 29)|0|[1, 0]|0|0|status.moving
(6, 59, 30)|0|[1, 0]|0|0|status.moving
(6, 59, 31)|0|[1, 0]|0|0|status.moving
(6, 59, 32)|0|[1, 0]|0|0|status.moving
(6, 59, 33)|0|[1, 0]|0|0|status.moving
(6, 59, 34)|0|[1, 0]|0|0|status.moving
(6, 59, 35)|0|[1, 0]|0|0|status.moving
(6, 59, 36)|0|[1, 0]|0|0|status.moving
(6, 59, 37)|0|[1, 0]|0|0|status.moving
(6, 59, 38)|0|[1, 0]|0|0|status.moving
(6, 59, 39)|0|[1, 0]|0|0|status.moving
(6, 59, 40)|0|[1, 0]|0|0|status.moving
(6, 59, 41)|0|[1, 0]|0|0|status.moving
(6, 59, 42)|0|[1, 0]|0|0|status.moving
(6, 59, 43)|0|[1, 0]|0|0|status.moving
(6, 59, 44)|0|[1, 0]|0|0|status.moving
(6, 59, 45)|0|[1, 0]|0|0|status.moving
(6, 59, 46)|0|[1, 0]|0|0|status.moving
(6, 59, 47)|0|[1, 0]|0|0|status.moving
(6, 59, 48)|0|[1, 0]|0|0|status.moving
(6, 59, 49)|0|[1, 0]|0|0|status.moving
(6, 59, 50)|0|[1, 0]|0|0|status.moving
(6, 59, 51)|0|[1, 0]|0|0|status.moving
(6, 59, 52)|0|[1, 0]|0|0|status.moving
(6, 59, 53)|0|[1, 0]|0|0|status.moving
